MeasureId,MeasureName,MeasureType,StratificationLevel,StateFips,StateName,CountyFips,CountyName,ReportYear,Value,Unit,UnitName,DataOrigin,MonitorOnly,NumFacilities
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,54,WEST VIRGINIA,54037,JEFFERSON,2011,10.382477139726,µg/m³,Micograms per cubic meter,Monitor & Modeled,0,2
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,29,MISSOURI,29099,JEFFERSON,2011,11.9744133369863,µg/m³,Micograms per cubic meter,Monitor & Modeled,0,1
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,19,IOWA,19101,JEFFERSON,2011,10.3439546109589,µg/m³,Micograms per cubic meter,Monitor & Modeled,0,1
87,Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,39,OHIO,39081,JEFFERSON,2011,12.6026027175852,µg/m³,Micograms per cubic meter,Monitor Only,1,1
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,39,OHIO,39081,JEFFERSON,2011,12.5578968136986,µg/m³,Micograms per cubic meter,Monitor Only,1,1
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,42,PENNSYLVANIA,42065,JEFFERSON,2011,9.715117509589048,µg/m³,Micograms per cubic meter,Monitor & Modeled,0,3
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,5,ARKANSAS,5069,JEFFERSON,2011,11.2130441643836,µg/m³,Micograms per cubic meter,Monitor & Modeled,0,2
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,48,TEXAS,48245,JEFFERSON,2011,11.0938652876712,µg/m³,Micograms per cubic meter,Monitor & Modeled,0,5
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,17,ILLINOIS,17081,JEFFERSON,2011,10.4667504958904,µg/m³,Micograms per cubic meter,Monitor & Modeled,0,2
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,18,INDIANA,18077,JEFFERSON,2011,11.2934048054795,µg/m³,Micograms per cubic meter,Monitor & Modeled,0,1
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,20,KANSAS,20087,JEFFERSON,2011,9.87942899726027,µg/m³,Micograms per cubic meter,Monitor & Modeled,0,1
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,36,NEW YORK,36045,JEFFERSON,2011,8.73308414794521,µg/m³,Micograms per cubic meter,Monitor & Modeled,0,1
87,Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,22,LOUISIANA,22051,JEFFERSON,2011,9.29660374065862,µg/m³,Micograms per cubic meter,Monitor Only,1,2
296,"Annual average ambient concentrations of PM 2.5 in micrograms per cubic meter, based on seasonal averages and daily measurement (monitor and modeled data)",Average,State x County,22,LOUISIANA,22051,JEFFERSON,2011,9.40644366849316,µg/m³,Micograms per cubic meter,Monitor Only,1,2
87,Annual average ambient concentrations of PM2.5 in micrograms per cubic meter (based on seasonal averages and daily measurement),Average,State x County,21,KENTUCKY,21111,JEFFERSON,2011,12.2902611090532,µg/m³,Micograms per cubic meter,Monitor Only,1,2
