Address Line 1,City,CO2 Emission,County,Facility ID,Gas Code,Gas Name,Latitude,Longitude,State Name,Year,Zip Code,Facility Name,geometry,is_major_city,distance_to_nearest_major_city
27155 SOUTH KANKAKEE Street,MANHATTAN,12.516,WILL,1001369,N2O,NITROUS OXIDE,41.3937,-87.9437,ILLINOIS,2011,60442,LINCOLN GENERATING FACILITY,POINT (667712.5763596331 2071386.6639992609),yes,0.0
449 Shell E&P Court,GIBSON,382855.3,TERREBONNE,1005071,CO2,CARBON DIOXIDE,29.62879,-90.91768,LOUISIANA,2011,70358,NORTH TERREBONNE GAS PLANT,POINT (491815.6118492342 741352.4842023494),no,432748.2783049369
13675 WELD COUNTY ROAD 34,PLATTEVILLE,29.204,WELD,1005678,N2O,NITROUS OXIDE,40.232045,-104.798221,COLORADO,2011,80651,PLATTEVILLE GAS PLANT,POINT (-741061.9881895754 1947304.3483722296),no,53074.45849674723
1801 California Street  Suite 2500,DENVER,191015.75,DENVER,1009714,CH4,METHANE,39.7477036,-104.9897862,COLORADO,2011,80202,FEPC 220 GULF COAST BASIN,POINT (-762275.5987336594 1894788.1240432763),yes,0.0
3301 BOWMAN ROAD,RIDGECREST,3621.25,KERN,1002897,CH4,METHANE,35.6029,-117.7388,CALIFORNIA,2011,93555,RIDGECREST-INYOKERN SANITARY LANDFILL,POINT (-1935318.090755998 1616597.7792194718),no,177220.30936721445
2237 HATCHER HILL RD,BACONTON,49.25,MITCHELL,1001409,CH4,METHANE,31.3869,-84.0819,GEORGIA,2011,31716,BACONTON,POINT (1126411.355487803 994233.4347115086),no,257775.77425065465
16980 Wood Road,LANSING,337.7,CLINTON,1006737,CO2,CARBON DIOXIDE,42.773144,-84.529325,MICHIGAN,2011,48906,GRANGER WOOD STREET LANDFILL,POINT (930951.1576928718 2253607.844044326),no,124299.92361175972
7130 S Lewis Ave Suite 1000,TULSA,9171.3,TULSA,1009340,CO2,CARBON DIOXIDE,36.05967,-95.95785,OKLAHOMA,2011,74136,UNIT PETROLEUM 377 ARKOMA BASIN,POINT (3762.687579279472 1445420.5556075298),no,364646.84635585424
5100 East Skelly Drive  Suite 650,TULSA,3.576,TULSA,1009384,N2O,NITROUS OXIDE,36.09654,-95.92011,OKLAHOMA,2011,74135,RAM ENERGY  INC. 435 PALO DURO BASIN,POINT (7128.227249891685 1449551.7588847063),no,359642.35721564025
212 Mine Road,WAYNESBURG,963050.0,GREENE,1009877,CH4,METHANE,39.887568,-80.193544,PENNSYLVANIA,2011,15370,EMERALD CONTURA  LLC,POINT (1333510.9341032205 1985534.498882559),no,64521.043420402595
2800 Cheraw Road,LENOIR,119160.0,CALDWELL,1007044,CH4,METHANE,35.914488,-81.593527,NORTH CAROLINA,2011,28645,FOOTHILLS ENVIRONMENTAL,POINT (1283586.2809060037 1526640.7865873042),no,104654.3933108868
2361 W Grand Blanc Rd,GRAND BLANC,126682.5,GENESEE,1004976,CH4,METHANE,42.914749,-83.722404,MICHIGAN,2011,48439,CITIZENS DISPOSAL LANDFILL,POINT (994049.0857476073 2277479.741503662),no,77976.62170794365
5600 BRENTLINGER DRIVE,DAYTON,14.0,MONTGOMERY,1001624,CH4,METHANE,39.82359,-84.16935,OHIO,2011,45414,TATE & LYLE CITRIC ACID,POINT (1001011.2704015373 1929598.9897413966),no,81669.88578289436
5600 BRENTLINGER DRIVE,DAYTON,29782.7,MONTGOMERY,1001624,CO2,CARBON DIOXIDE,39.82359,-84.16935,OHIO,2011,45414,TATE & LYLE CITRIC ACID,POINT (1001011.2704015373 1929598.9897413966),no,81669.88578289436
12377 Merit Dr.  Suite 1700,DALLAS,64877.6,DALLAS,1008958,CO2,CARBON DIOXIDE,32.91593,-96.77249,TEXAS,2011,75251,EXCO RESOURCES  INC. - EAST TEXAS BASIN #260,POINT (-71815.8826596247 1094204.0869349285),yes,0.0
585 Willamette Rd,BENNETTSVILLE,64863.4,MARLBORO,1000324,CO2,CARBON DIOXIDE,34.605,-79.785,SOUTH CAROLINA,2011,29512,MARLBORO PAPER MILL,POINT (1468127.251154422 1408169.1444373857),no,116316.04659807484
1554 N 600 E,UNION CITY,95.062,RANDOLPH,1002882,N2O,NITROUS OXIDE,40.18595,-84.86228,INDIANA,2011,47390,CARDINAL ETHANOL  LLC,POINT (937910.9082273337 1962835.3827165985),no,117905.0093597282
1554 N 600 E,UNION CITY,79.75,RANDOLPH,1002882,CH4,METHANE,40.18595,-84.86228,INDIANA,2011,47390,CARDINAL ETHANOL  LLC,POINT (937910.9082273337 1962835.3827165985),no,117905.0093597282
124 TWIN BRIDGES RD,DANVILLE,106037.532025,HENDRICKS,1007638,CH4,METHANE,39.7507,-86.5006,INDIANA,2011,46122,TWIN BRIDGES RDF,POINT (805313.9012037338 1899325.406319019),no,30267.781050358317
1088 Germany Valley Limestone Rd,RIVERTON,338513.7,PENDLETON,1006247,CO2,CARBON DIOXIDE,38.793745,-79.481638,WEST VIRGINIA,2011,26814,RIVERTON FACILITY,POINT (1414178.6236387293 1875006.5897039752),no,189185.76939874995
2791 NORTH US ROUTE 231,ROCKPORT,77219.846,SPENCER,1001037,N2O,NITROUS OXIDE,37.9256,-87.0372,INDIANA,2011,47635,ROCKPORT,POINT (779226.1681063332 1691258.4312033188),no,197801.82293545734
2301 N. BRAZOSPORT BLVD. BUILDING B-101,FREEPORT,2275.44,BRAZORIA,1002040,SF6,SULFUR HEXAFLUORIDE,28.993619,-95.397713,TEXAS,2011,77541,DOW TEXAS OPERATIONS FREEPORT,POINT (58756.652433776806 658011.4322547353),no,87811.87533508884
303 BREW ROAD,BERGEN,172737.8627,MONROE,1002951,CH4,METHANE,43.06417,-77.93291,NEW YORK,2011,14416,RIGA/MILL SEAT LANDFILL,POINT (1454894.9559188227 2368586.127876024),no,338627.5518499964
401 NE ADAMS STREET,CAMAS,10789.5,CLARK,1005998,CH4,METHANE,45.582929,-122.407758,WASHINGTON,2011,98607,GEORGIA-PACIFIC CONSUMER OPERATIONS LLC,POINT (-2034991.1810038364 2795116.4422307704),no,19589.712622143146
8480 DUPONT ROAD,WASHINGTON,1644.96,WOOD,1002176,N2O,NITROUS OXIDE,39.26944,-81.67,WEST VIRGINIA,2011,26181,CHEMOURS WASHINGTON WORKS,POINT (1220350.3399061665 1897291.4939524126),yes,0.0
26530 E HWY 24,CARROLLTON,37.75,CARROLL,1002124,CH4,METHANE,39.36266,-93.448939,MISSOURI,2011,64633,SHOW ME ETHANOL,POINT (217768.55922654786 1818479.4836830667),no,98225.66100866487
900 STEAM PLANT RD,TUSCUMBIA,4720473.3,COLBERT,1007829,CO2,CARBON DIOXIDE,34.7439,-87.8486,ALABAMA,2011,35674,COLBERT,POINT (739391.6670219288 1329880.517924268),no,186293.6260999447
200 INDUSTRIAL ROAD GATE 4,PASCAGOULA,860746.9,JACKSON,1000696,CO2,CARBON DIOXIDE,30.34,-88.492,MISSISSIPPI,2011,39568,CHEVRON COGENERATING STATION,POINT (719910.3595128623 835571.9402646032),no,540039.9036851135
2242 BUSHY PARK ROAD,GOOSE CREEK,2430186.2,BERKELEY,1000912,CO2,CARBON DIOXIDE,33.0163,-79.9285,SOUTH CAROLINA,2011,29445,WILLIAMS,POINT (1485134.526259251 1230992.2261298671),no,258532.97069891702
2701 LAKESHORE BOULEVARD NORTH,MARQUETTE,2593197.1,MARQUETTE,1000680,CO2,CARBON DIOXIDE,46.5789,-87.395,MICHIGAN,2011,49855,PRESQUE ISLE,POINT (660804.6460364392 2650998.339300962),no,393788.1606595965
155 RAYMOND BOULEVARD,NEWARK,92205.6,ESSEX,1000745,CO2,CARBON DIOXIDE,40.7375,-74.1211,NEW JERSEY,2011,7105,ESSEX,POINT (1816285.1208542709 2179599.1250503487),no,13950.815941227547
1669 LAKE AVE,ROCHESTER,4580.558,MONROE,1001199,N2O,NITROUS OXIDE,43.1969,-77.6289,NEW YORK,2011,14652,EASTMAN KODAK - KODAK PARK,POINT (1476225.0276687986 2387827.1800689846),no,364165.12560810335
1199 Black Jack Church Rd,GOLDSBORO,6507.724,WAYNE,1000786,N2O,NITROUS OXIDE,35.3775,-78.0875,NORTH CAROLINA,2011,27530,H F LEE STEAM ELECTRIC PLANT,POINT (1603889.7686160656 1520650.4374392934),no,71281.84714989223
3177 HWY 163 SOUTH,COLORADO CITY,35.164,MITCHELL,1007784,N2O,NITROUS OXIDE,32.3358,-100.9158,TEXAS,2011,79512,MORGAN CREEK,POINT (-460152.7299411104 1041110.6291143673),no,375885.3716071099
12620 CRAIN HIGHWAY,NEWBURG,6258295.3,CHARLES,1000651,CO2,CARBON DIOXIDE,38.3592,-76.9767,MARYLAND,2011,20664,MORGANTOWN,POINT (1635637.6587076096 1867341.648539493),no,61238.21786000433
8906 S 35TH ST,BELLEVUE,21.75,SARPY,1000725,CH4,METHANE,41.1706,-95.9692,NEBRASKA,2011,68147,SARPY COUNTY STATION,POINT (2563.883067709528 2018092.7133743665),no,258572.24339157378
2501 MORRISON AV,ROTHSCHILD,27673.472,MARATHON,1000986,N2O,NITROUS OXIDE,44.8606,-89.6553,WISCONSIN,2011,54474,WESTON,POINT (500265.8230575855 2446911.8442213647),no,241542.5063804029
6035 PARK ROAD,ANDERSON,9864.4,MADISON,1001116,CO2,CARBON DIOXIDE,40.0529,-85.7389,INDIANA,2011,46011,ANDERSON,POINT (865996.3259981112 1939702.702882935),no,46297.58966932485
19801 NE 36TH ST,HARRAH,390.082,OKLAHOMA,1000859,N2O,NITROUS OXIDE,35.5089,-97.1789,OKLAHOMA,2011,73045,HORSESHOE LAKE,POINT (-106001.46825061903 1384410.7469577482),no,305836.0005905779
19801 NE 36TH ST,HARRAH,327.25,OKLAHOMA,1000859,CH4,METHANE,35.5089,-97.1789,OKLAHOMA,2011,73045,HORSESHOE LAKE,POINT (-106001.46825061903 1384410.7469577482),no,305836.0005905779
19801 NE 36TH ST,HARRAH,705300.5,OKLAHOMA,1000859,CO2,CARBON DIOXIDE,35.5089,-97.1789,OKLAHOMA,2011,73045,HORSESHOE LAKE,POINT (-106001.46825061903 1384410.7469577482),no,305836.0005905779
15290 STREICH RD,ELMENDORF,357.6,BEXAR,1001104,N2O,NITROUS OXIDE,29.2575,-98.3828,TEXAS,2011,78112,V H BRAUNIG,POINT (-231700.75585205317 689953.536798872),no,26591.019646531204
701 B NE 7TH ST,ANADARKO,202.25,CADDO,1000865,CH4,METHANE,35.0847,-98.23,OKLAHOMA,2011,73005,ANADARKO,POINT (-201612.39786209105 1338643.4767307623),no,289095.05316319497
6605 FOUL RIFT ROAD,BANGOR,467117.5,NORTHAMPTON,1000892,CO2,CARBON DIOXIDE,40.796,-75.107,PENNSYLVANIA,2011,18013,MARTINS CREEK  LLC,POINT (1734366.303250195 2167567.8057643636),no,88335.0901180438
757 US RT 52,NEW RICHMOND,18543.348,,1000840,N2O,NITROUS OXIDE,38.9917,-84.2981,OHIO,2011,45200,WALTER C BECKJORD GENERATING STATION,POINT (1001623.9070728085 1835725.276889003),no,24469.63037278815
15260 N STATE ROUTE 78,HAVANA,3505285.7,MASON,1001524,CO2,CARBON DIOXIDE,40.2797,-90.0775,ILLINOIS,2011,62644,HAVANA,POINT (498901.50233280595 1933865.630160757),no,184768.03921407013
3300 C ST SW,CEDAR RAPIDS,5527.304,LINN,1001548,N2O,NITROUS OXIDE,41.9439,-91.6386,IOWA,2011,52404,PRAIRIE CREEK,POINT (358957.98061865626 2112875.048031992),no,324909.2415517991
1151   260th ST,SERGEANT BLUFF,28506.978,WOODBURY,1001612,N2O,NITROUS OXIDE,42.3251,-96.3797,IOWA,2011,51054,GEORGE NEAL NORTH,POINT (-31091.139182773142 2147333.8180440646),no,386175.9978658476
8100 EISENHOWER BOULEVARD,FORT LAUDERDALE,374763.2,BROWARD,1001484,CO2,CARBON DIOXIDE,26.0856,-80.1253,FLORIDA,2011,33316,PORT EVERGLADES,POINT (1594809.732950891 470644.6183349759),no,34197.40537104356
1866 RIVER ROAD,MIDDLETOWN,70.0,MIDDLESEX,1006408,CH4,METHANE,41.5544,-72.5793,CONNECTICUT,2011,6457,MIDDLETOWN,POINT (1919451.8725738556 2298780.577190093),no,100502.49157831298
7320 PAPER MILL ROAD,FLORENCE,24734.0,FLORENCE,1000319,N2O,NITROUS OXIDE,34.1519,-79.5587,SOUTH CAROLINA,2011,29501,WESTROCK CP  LLC - FLORENCE MILL,POINT (1497134.3245186456 1361784.661512443),no,165283.15493512986
7320 PAPER MILL ROAD,FLORENCE,14050.0,FLORENCE,1000319,CH4,METHANE,34.1519,-79.5587,SOUTH CAROLINA,2011,29501,WESTROCK CP  LLC - FLORENCE MILL,POINT (1497134.3245186456 1361784.661512443),no,165283.15493512986
2815 INDIANAPOLIS BLVD,WHITING,23205.25,LAKE,1007339,CH4,METHANE,41.6703,-87.4803,INDIANA,2011,46394,BP WHITING BUSINESS UNIT,POINT (703247.8377496178 2105568.5474217995),no,25299.72628689619
10690 W. SIX MILE RD,NORTHVILLE,520680.25,WAYNE,1008034,CH4,METHANE,42.406821,-83.556249,MICHIGAN,2011,48167,VEOLIA ES ARBOR HILLS LANDFILL,POINT (1014837.4892613541 2222946.130006592),no,37217.63100918274
100 GASTON ROAD,ROANOKE RAPIDS,6037.0,HALIFAX,1000166,CH4,METHANE,36.4769,-77.6414,NORTH CAROLINA,2011,27870,KAPSTONE PAPER AND PACKAGING CORP,POINT (1619707.6898451548 1649087.6137012863),no,114815.72665227593
198 BLAIR BEND DRIVE,LOUDON,1033.0,LOUDON,1000401,CH4,METHANE,35.7433,-84.3208,TENNESSEE,2011,37774,TATE & LYLE-LOUDON,POINT (1044310.5458744384 1474246.0202835908),no,221713.35227794832
120 W 12TH ST,ROANOKE RAPIDS,74231.3,HALIFAX,1000412,CO2,CARBON DIOXIDE,36.4525,-77.6594,NORTH CAROLINA,2011,27870,ROSEMARY POWER STATION,POINT (1618663.6169021053 1646098.4912260682),no,111866.14343116323
1 NORTH BROADWAY,GARY,11369260.2,LAKE,1000418,CO2,CARBON DIOXIDE,41.6133,-87.3281,INDIANA,2011,46402,US STEEL CORP - GARY WORKS,POINT (716357.6680383318 2100352.7078381456),no,38807.51407686
100 EAST SARTELL STREET,SARTELL,2396.814,STEARNS,1003164,N2O,NITROUS OXIDE,45.619724,-94.20093,MINNESOTA,2011,56377,VERSO PAPER CORP. - SARTELL MILL,POINT (140351.58171355113 2515958.8849240886),no,103329.28334785711
21050 140TH ST,IOWA FALLS,251.25,HARDIN,1003573,CH4,METHANE,42.507192,-93.28041,IOWA,2011,50126,FLINT HILLS RESOURCES IOWA FALLS  LLC,POINT (222077.0320504802 2170808.203785293),no,274030.37510498206
21050 140TH ST,IOWA FALLS,69.434,HARDIN,1003573,N2O,NITROUS OXIDE,42.507192,-93.28041,IOWA,2011,50126,FLINT HILLS RESOURCES IOWA FALLS  LLC,POINT (222077.0320504802 2170808.203785293),no,274030.37510498206
5051 west 150 south,SALT LAKE CITY,48.872,SALT,1005804,N2O,NITROUS OXIDE,40.803833,-112.02379,UTAH,2011,84104,KERN RIVER GAS TRANSMISSION COMPANY: SALT LAKE COMPRESSOR STATION,POINT (-1334448.234221763 2089793.2912894883),yes,0.0
1155 EIH 20 S,WASKOM,10456.5,HARRISON,1003657,CH4,METHANE,32.46806,-94.073059,TEXAS,2011,75692,STATELINE COMPRESSOR STATION,POINT (180144.0602894386 1045779.5561988651),no,253922.3560405585
1265 Bamberger Road,PAYSON,137325.6,UTAH,1000444,CO2,CARBON DIOXIDE,40.0614,-111.7294,UTAH,2011,84651,NEBO POWER STATION,POINT (-1323860.6117939285 2003667.1786577322),no,82003.40994450479
600 BLEWETT FALLS ROAD,LILESVILLE,125780.2,ANSON,1000459,CO2,CARBON DIOXIDE,34.9708,-79.9208,NORTH CAROLINA,2011,28091,NCEMC ANSON PLANT,POINT (1449059.5203128278 1446414.3228031653),no,86416.7597745901
208 RENAUD DR,LAFAYETTE,55.0,LAFAYETTE,1006210,CH4,METHANE,30.2554,-92.0433,LOUISIANA,2011,70507,T J LABBE ELECTRIC GENERATING STATION,POINT (380067.4881409998 805638.0753351903),no,326502.9237331107
2419 State Route 618,BELPRE,1060.88,WASHINGTON,1000032,N2O,NITROUS OXIDE,39.281072,-81.637901,OHIO,2011,45714,KRATON POLYMERS U S LLC,POINT (1222866.8177177424 1898992.954721471),no,139215.9665542174
53 Edgeboro Rd,EAST BRUNSWICK,159.5,MIDDLESEX,1007298,CO2,CARBON DIOXIDE,40.474236,-74.394844,NEW JERSEY,2011,8816,MIDDLESEX COUNTY LANDFILL,POINT (1800601.7389581802 2145670.8158770124),no,42255.08330789803
5728 E SEBRING WARNER RD,GREENVILLE,293.5,DARKE,1000035,CH4,METHANE,40.081111,-84.591667,OHIO,2011,45331,ANDERSONS MARATHON ETHANOL LLC,POINT (961997.7294403801 1953876.9122336856),no,105570.34063096259
7501 N. JOG ROAD,WEST PALM BEACH,204173.25,PALM,1007820,CH4,METHANE,26.7717,-80.1416,FLORIDA,2011,33412,PALM BEACH RENEWABLE ENERGY PARK (PBREP),POINT (1580659.6077686294 544747.4349541606),no,108748.13884453557
14902 RIVER ROAD,NORCO,873622.26,ST.,1009080,CO2,CARBON DIOXIDE,29.985278,-90.392778,LOUISIANA,2011,70079,VALERO REFINING - NEW ORLEANS  L.L.C.,POINT (540222.358333853 783682.964111447),no,482619.2511937586
985 ROAD 90,OLPE,12521.75,LYON,1003109,CH4,METHANE,38.288982,-96.192252,KANSAS,2011,66865,PANHANDLE EASTERN PIPE LINE CO - OLPE,POINT (-16656.793669805586 1695232.039039974),no,169322.87010289144
Star Route 42  Wunpost Road,SAN ARDO,92.0,MONTEREY,1000507,CH4,METHANE,35.9515,-120.8679,CALIFORNIA,2011,93450,SALINAS RIVER COGENERATION FACILITY,POINT (-2197817.7603060952 1722516.6504457225),no,174361.2869851495
2199 E 28TH ST,LORAIN,59.004,LORAIN,1001619,N2O,NITROUS OXIDE,41.44574,-82.12005,OHIO,2011,44055,US STEEL - LORAIN TUBULAR OPERATIONS,POINT (1146822.1756459554 2132790.4636452),no,36600.250586167414
2384 Old Trail,SELINSGROVE,1125405.8,SNYDER,1001674,CO2,CARBON DIOXIDE,40.8361,-76.825,PENNSYLVANIA,2011,17870,SUNBURY GENERATION LP,POINT (1592881.368447102 2141883.7358171986),no,169850.4776696141
175 MAIN ST,CANTON,21810.918,HAYWOOD,1000230,N2O,NITROUS OXIDE,35.535,-82.8411,NORTH CAROLINA,2011,28716,BLUE RIDGE PAPER PRODUCTS INC.,POINT (1179039.7711295723 1468434.2322806672),no,184782.1952912334
175 MAIN ST,CANTON,11490.0,HAYWOOD,1000230,CH4,METHANE,35.535,-82.8411,NORTH CAROLINA,2011,28716,BLUE RIDGE PAPER PRODUCTS INC.,POINT (1179039.7711295723 1468434.2322806672),no,184782.1952912334
2125 SOUTH CR 125 WEST,LOGANSPORT,14.304,CASS,1006783,N2O,NITROUS OXIDE,40.7335,-86.3915,INDIANA,2011,46947,TYSON FRESH MEATS INC,POINT (803418.2207482016 2009796.9035281818),no,109130.19316070316
651 HAWKINS BLVD,EL PASO,17.25,EL,1000540,CH4,METHANE,31.7569,-106.375,TEXAS,2011,79915,COPPER STATION,POINT (-976703.9831111884 1018069.2630011352),no,569979.5332273785
4143 RATHBUN ROAD,BIRCH RUN,0.298,SAGINAW,1003133,N2O,NITROUS OXIDE,43.280112,-83.872304,MICHIGAN,2011,48415,PEOPLES LANDFILL  INC.,POINT (976785.1925544448 2316398.095785389),no,118135.10416231611
11405 US HIGHWAY 93,APEX,1323.15576,CLARK,1000150,N2O,NITROUS OXIDE,36.3853,-114.9228,NEVADA,2011,89124,CHUCK LENZIE GENERATING STATION,POINT (-1670864.861719979 1648791.6063906113),no,34914.87100274133
444 Highland Drive,KOHLER,41.72,SHEBOYGAN,1004632,N2O,NITROUS OXIDE,43.7375,-87.763889,WISCONSIN,2011,53044,KOHLER CO.,POINT (659903.0063032134 2333652.5811319323),no,76936.80552378959
41.061299  -111.012854,EVANSTON,25.628,UINTA,1005806,N2O,NITROUS OXIDE,41.068209,-110.759927,WYOMING,2011,82930,KERN RIVER GAS TRANSMISSION CO: COYOTE CREEK COMPRESSOR STATION,POINT (-1225499.6250529229 2101988.3446804574),no,103103.31576091885
HWY 57,COUNCE,14578.25,HARDIN,1007867,CH4,METHANE,35.0442,-88.2652,TENNESSEE,2011,38326,PACKAGING CORPORATION OF AMERICA,POINT (698957.3897136807 1360206.2061158158),no,153992.78685855304
24501 W MCMULLEN RD,HOPEDALE,30735.5,TAZEWELL,1005916,CH4,METHANE,40.418206,-89.468044,ILLINOIS,2011,61747,INDIAN CREEK LANDFILL #2,POINT (549098.3231003771 1952709.074586985),no,210411.1475333733
16707 LITTLE VALLEY RD,JAMES CREEK,1122.25,HUNTINGDON,1000316,CH4,METHANE,40.3086,-78.1389,PENNSYLVANIA,2011,16657,ENTRIKEN COMPRESSOR STATION,POINT (1496110.6295745277 2062561.6370027638),no,155368.36855646077
ROUTE 87,MEHOOPANY,24685.75,WYOMING,1001244,CH4,METHANE,41.573,-76.0426,PENNSYLVANIA,2011,18629,PROCTER & GAMBLE PAPER PRODUCTS,POINT (1639738.804968219 2235947.505095946),no,191079.43515084437
24391 PATTERSON RD,ELWOOD,101.618,WILL,1001359,N2O,NITROUS OXIDE,41.4388,-88.1236,ILLINOIS,2011,60421,ELWOOD ENERGY FACILITY,POINT (652418.9540416483 2075167.566313625),no,57415.54146282972
600 East Gude Drive,ROCKVILLE,11882.0,MONTGOMERY,1003432,CH4,METHANE,39.10559,-77.14454,MARYLAND,2011,20850,GUDE LANDFILL GAS-TO-ENERGY FACILITY,POINT (1604907.3278186128 1946483.3264236106),no,25060.572091324724
6001 Olney-Laytonsville Road,LAYTONSVILLE,13934.7,MONTGOMERY,1003469,BIOCO2,BIOGENIC CO2,39.190616,-77.121884,MARYLAND,2011,20882,OAKS LANDFILL GAS-TO-ENERGY FACILITY,POINT (1604929.689536116 1956208.4100148259),no,33300.131711046364
6001 Olney-Laytonsville Road,LAYTONSVILLE,50.362,MONTGOMERY,1003469,N2O,NITROUS OXIDE,39.190616,-77.121884,MARYLAND,2011,20882,OAKS LANDFILL GAS-TO-ENERGY FACILITY,POINT (1604929.689536116 1956208.4100148259),no,33300.131711046364
9440 FM 1559,BORGER,19.072,HUTCHINSON,1003533,N2O,NITROUS OXIDE,35.665695,-101.43327,TEXAS,2011,79007,BORGER CARBON BLACK PLANT,POINT (-487279.02605662396 1415239.1268039132),no,533843.7358672583
4770 HIGHWAY 42 EAST,CARROLLTON,60.5,CARROLL,1002548,CH4,METHANE,38.7074,-85.1048,KENTUCKY,2011,41008,DOW CORNING,POINT (936533.7833955686 1795858.140653392),no,70783.7437860624
1745 Airport Blvd.  Hwy 1273,DANVILLE,50.064,BOYLE,1002580,N2O,NITROUS OXIDE,37.58,-84.75,KENTUCKY,2011,40422,DANVILLE,POINT (981815.2936423045 1673933.4155607414),no,176264.86806853264
10310 FM 528 RD,ANGLETON,630062.75,BRAZORIA,1003281,CH4,METHANE,29.087945,-95.355625,TEXAS,2011,77516,SEABREEZE ENVIRONMENTAL LANDFILL,POINT (62791.70964361334 668482.0532021484),no,77429.1356052442
18703 CAMBRIDGE ROAD,ANDERSON,61575.0,SHASTA,1007839,CH4,METHANE,40.41754,-122.35787,CALIFORNIA,2011,96007,ANDERSON LANDFILL,POINT (-2189176.8357902127 2239306.408134188),no,220719.59423121743
11990 STATE ROAD 82  EAST,FORT MYERS,6900.0,LEE,1007991,CH4,METHANE,26.603184,-81.768787,FLORIDA,2011,33913,GULF COAST RDF,POINT (1422522.7882835662 500727.66881315014),no,167443.7339285966
103 FANNIN ROAD,POINT COMFORT,43748.5,CALHOUN,1003530,CO2,CARBON DIOXIDE,28.661671,-96.558609,TEXAS,2011,77978,POINT COMFORT GAS PLANT,POINT (-54711.581524539295 621251.6748956452),no,168727.08638132052
1 ESTATE HOPE,CHRISTIANSTED,31785.0,SAINT,1006451,CH4,METHANE,17.7102,-64.7544,VIRGIN ISLANDS,2011,820,LIMETREE BAY TERMINALS  LLC,POINT (3389644.854738097 -6441.6152915360435),no,161413.94660698567
3737 HIGHWAY 3 NORTH,REDWOOD,10926.468,WARREN,1000434,N2O,NITROUS OXIDE,32.52923,-90.774508,MISSISSIPPI,2011,39156,INTERNATIONAL PAPER - VICKSBURG MILL,POINT (487928.35873456416 1064192.4018094204),no,297604.9228159448
68 EL PASO CIRCLE,GALLUP,552.75,MCKINLEY,1002233,CH4,METHANE,35.535897,-108.643417,NEW MEXICO,2011,87301,WINGATE FRACTIONATING PLANT,POINT (-1133117.5237942813 1462262.8555009149),no,382895.5214817266
4292 SOUTH BURMA ROAD,SALINA,82774.5,SALINE,1002550,CH4,METHANE,38.763,-97.697,KANSAS,2011,67402,SALINA MUNICIPAL SOLID WASTE LANDFILL,POINT (-146072.37078143112 1749650.4227927125),no,272876.5544494478
6680 E. Old Oregon Road,TOPAZ,11.92,BANNOCK,1007451,N2O,NITROUS OXIDE,42.62976,-112.09093,IDAHO,2011,83246,NORTHWEST PIPELINE GP - LAVA HOT SPRINGS C/S,POINT (-1305558.0762230272 2292123.908084307),no,207665.58359246704
70 Arnold Road,LAWRENCEVILLE,2256.0,GWINNETT,1003504,CH4,METHANE,33.919259,-84.051639,GEORGIA,2011,30044,BUTTON GWINNETT LANDFILL,POINT (1093838.5838626095 1274807.4201149964),no,38256.9465354993
311 NORTH DIVISION STREET,AUBURN,9351.75,CAYUGA,1003034,CH4,METHANE,42.951487,-76.586758,NEW YORK,2011,13021,AUBURN SANITARY LANDFILL NO 2,POINT (1564391.8779616419 2377626.5961904647),no,324759.50487665774
9431 50TH ROAD SOUTHEAST,SAINT JOSEPH,18.7,BUCHANAN,1001925,CO2,CARBON DIOXIDE,39.6711,-94.7723,MISSOURI,2011,64507,SAINT JOSEPH SANITARY LANDFILL,POINT (104364.4154786485 1850796.881017724),no,64100.816016714845
12101 North Las Vegas Blvd. ,LAS VEGAS,940.75,CLARK,1002551,CH4,METHANE,36.204003,-115.129625,NEVADA,2011,89165,LHOIST NORTH AMERICA APEX PLANT,POINT (-1692941.3287106974 1632551.3166819976),yes,0.0
20219 County Road 5,RIFLE,6020.5,RIO,1002319,CH4,METHANE,39.977742,-107.763621,COLORADO,2011,81650,WILLOW CREEK GAS PLANT,POINT (-993236.2432935952 1946035.7752736867),no,245999.11585828074
420 Quarry Road,MORGANTOWN,68.3,CHESTER,1002556,CO2,CARBON DIOXIDE,40.123384,-75.895918,PENNSYLVANIA,2011,19543,CONESTOGA LANDFILL,POINT (1685696.6442383875 2079772.7091867325),no,65715.81981015812
15849B OLD SPANISH TRAIL,PARADIS,128116.0,SAINT,1002235,CO2,CARBON DIOXIDE,29.85926,-90.45263,LOUISIANA,2011,70080,DISCOVERY PRODUCER SERVICES LLC - DISCOVERY PARADIS FRACTIONATION PLANT,POINT (535278.266883654 769386.4008309378),no,476770.50319084676
15849B OLD SPANISH TRAIL,PARADIS,73.01,SAINT,1002235,N2O,NITROUS OXIDE,29.85926,-90.45263,LOUISIANA,2011,70080,DISCOVERY PRODUCER SERVICES LLC - DISCOVERY PARADIS FRACTIONATION PLANT,POINT (535278.266883654 769386.4008309378),no,476770.50319084676
18528 S. Highway 132,DRUMMOND,18.178,GARFIELD,1002267,N2O,NITROUS OXIDE,36.272314,-98.068343,OKLAHOMA,2011,73735,RODMAN GAS PLANT,POINT (-184106.01798715445 1471238.559003427),no,406633.63705721014
4050 MOUNTAIN VIEW RD.,FERNDALE,12264.75,WHATCOM,1003562,CH4,METHANE,48.8455,-122.7055,WASHINGTON,2011,98248,ALCOA INTALCO WORKS,POINT (-1957297.9212280363 3148083.4732064703),no,137889.4654674298
