Address Line 1,City,County,State Name,is_major_city,distance_to_nearest_major_city,distance_to_coast,Facility ID,BIOCO2,CH4,CO2,HFC,HFE,N2O,NF3,OTHER,OTHER_FULL,PFC,SF6,VERY_SHORT
 5411 NE Hwy 99,VANCOUVER,CLARK,WASHINGTON,no,13960.507057577432,68943.33704911567,1005611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38999.4,0.0
#1 CHESSEN LANE,ALTON,MADISON,ILLINOIS,no,27332.53140940004,928112.8839570155,1001527,0.0,9671.25,3347341.1,0.0,0.0,16768.162,0.0,0.0,0.0,0.0,0.0,0.0
#1 Estate Annaberg and Shannon Grove,KINGSHILL,ST.,VIRGIN ISLANDS,no,159053.51459987904,1268.9653852457654,1010700,0.0,3332.5,28479.7,0.0,0.0,68.838,0.0,0.0,0.0,0.0,0.0,0.0
#1 Georgia-Pacific Drive,FORDYCE,DALLAS,ARKANSAS,no,265526.7498245121,426803.29512152623,1010844,109490.0,944.5,22961.0,0.0,0.0,1473.908,0.0,0.0,0.0,0.0,0.0,0.0
#1 INDUSTRIAL HWY,EDDYSTONE,DELAWARE,PENNSYLVANIA,no,23192.91033014605,398.7790758779804,1000898,0.0,1194.75,558822.3,0.0,0.0,2056.796,0.0,0.0,0.0,0.0,0.0,0.0
#1 POWER STATION BLVD,WILLOW ISLAND,PLEASANTS,WEST VIRGINIA,no,159628.1030364608,354083.1139253067,1001001,0.0,2039.25,7590073.8,0.0,0.0,38869.928,0.0,0.0,0.0,0.0,0.0,0.0
#2 POWER STATION BLVD,WILLOW ISLAND,PLEASANTS,WEST VIRGINIA,no,159133.79561792256,354604.1411357676,1007843,0.0,57.5,215409.0,0.0,0.0,1077.568,0.0,0.0,0.0,0.0,0.0,0.0
#28 Pumpkin Center Circle,QUITMAN,CLEBURNE,ARKANSAS,no,202990.62611236793,589695.6269747249,1003928,0.0,16.75,35702.2,0.0,0.0,19.966,0.0,0.0,0.0,0.0,0.0,0.0
#5 CUT ST.,ALTON,MADISON,ILLINOIS,no,29027.592155831207,930459.1964953326,1003268,0.0,17.25,65307.0,0.0,0.0,20.86,0.0,0.0,0.0,0.0,0.0,0.0
0.25 MILES W OF,DUKE,JACKSON,OKLAHOMA,no,333033.1155567304,692822.5055456496,1005175,0.0,27.75,58781.7,0.0,0.0,33.078,0.0,0.0,0.0,0.0,0.0,0.0
1 11 HUDSON AVE,NEW YORK,KINGS,NEW YORK,yes,0.0,72.07576954508711,1000762,0.0,16.75,16671.9,0.0,0.0,39.634,0.0,0.0,0.0,0.0,0.0,0.0
1 AIRCRAFT ROAD,MIDDLETOWN,MIDDLESEX,CONNECTICUT,no,99729.15802507306,23713.3419365532,1004295,0.0,17.25,36388.2,0.0,0.0,20.86,0.0,0.0,0.0,0.0,0.0,0.0
1 AM/NS Way,CALVERT,MOBILE,ALABAMA,no,443354.7595296534,45552.6372601218,1005491,0.0,115.25,244317.4,0.0,0.0,137.378,0.0,0.0,0.0,0.0,0.0,0.0
1 AMGEN CENTER DRIVE M/S 25-1-A,THOUSAND OAKS,VENTURA,CALIFORNIA,no,47732.34560509232,15692.75868268517,1005413,0.0,12.25,26225.3,0.0,0.0,14.602,0.0,0.0,0.0,0.0,0.0,0.0
1 ARMCO DR,BUTLER,BUTLER,PENNSYLVANIA,no,43723.26044035412,325587.9991787354,1002903,0.0,110.75,286466.2,0.0,0.0,132.014,0.0,0.0,0.0,0.0,0.0,0.0
1 ASHLEY STREET,SAINT LOUIS,SAINT,MISSOURI,no,5520.782798568885,904174.702249458,1003496,0.0,32.5,70474.7,0.0,0.0,38.74,0.0,0.0,0.0,0.0,0.0,0.0
1 ATLANTIC ST,BRIDGEPORT,FAIRFIELD,CONNECTICUT,no,67264.99123331188,14.367091001110305,1006949,0.0,1428.75,503256.7,0.0,0.0,2483.532,0.0,0.0,0.0,0.0,0.0,0.0
1 BDA Crossing  Suite 100,SAN ANTONIO,BEXAR,TEXAS,yes,0.0,181972.42777571816,1005803,0.0,1262.5,46883.2,0.0,0.0,167.178,0.0,0.0,0.0,0.0,0.0,0.0
1 BELANGER PARK,RIVER ROUGE,WAYNE,MICHIGAN,no,12342.204086087066,632233.0475950822,1000677,0.0,7061.5,2436235.6,0.0,0.0,12241.84,0.0,0.0,0.0,0.0,0.0,0.0
1 BETHEL VALLEY ROAD,OAK RIDGE,ROANE,TENNESSEE,no,215521.29004664093,497556.13833014126,1002109,2457.3,45.75,48312.6,0.0,0.0,66.156,0.0,0.0,0.0,0.0,0.0,0.0
